Дата продажи,Регион,Тип светильника,Количество проданных единиц,Цена за единицу,Общая стоимость,Тип продажи,Оценка товара,Способ получения
2024-02-13,Московская область,люстры,6,2511.5,15069.0,онлайн,2,самовывоз
2024-04-23,Московская область,люстры,2,2222.9,4445.8,онлайн,5,курьер
2024-11-26,Москва,настенные светильники,2,2881.53,5763.06,онлайн,5,курьер
2024-06-18,Московская область,люстры,4,1450.43,5801.72,онлайн,2,курьер
2024-09-05,Московская область,настенные светильники,10,6764.51,67645.1,онлайн,5,почта
2024-07-05,Московская область,потолочные светильники,3,545.9,1637.7,онлайн,2,почта
2024-11-24,Московская область,настенные светильники,6,1775.91,10655.46,оффлайн,4,курьер
2024-08-16,Московская область,настенные светильники,8,5740.88,45927.04,онлайн,5,самовывоз
2024-05-23,Москва,торшеры,4,3000.73,12002.92,онлайн,1,самовывоз
2024-09-16,Москва,торшеры,10,4348.78,43487.8,онлайн,1,почта
2024-05-13,Московская область,люстры,6,4228.73,25372.38,оффлайн,2,курьер
2024-09-13,Москва,потолочные светильники,6,5270.59,31623.54,онлайн,5,почта
2024-03-25,Москва,потолочные светильники,3,2201.88,6605.64,онлайн,4,курьер
2024-01-21,Москва,потолочные светильники,4,1097.18,4388.72,оффлайн,2,самовывоз
2024-12-08,Москва,торшеры,6,4186.88,25121.28,оффлайн,1,самовывоз
2024-11-28,Московская область,настольные лампы,9,6518.89,58670.01,оффлайн,3,почта
2024-10-05,Москва,потолочные светильники,7,3970.32,27792.24,онлайн,5,курьер
2024-07-11,Москва,торшеры,7,3852.53,26967.71,оффлайн,4,курьер
2024-11-05,Москва,торшеры,3,4679.04,14037.12,онлайн,1,почта
2024-11-25,Московская область,люстры,3,2275.6,6826.8,оффлайн,5,почта
2024-03-01,Москва,потолочные светильники,6,7342.43,44054.58,оффлайн,4,курьер
2024-04-17,Москва,потолочные светильники,1,2814.87,2814.87,онлайн,5,почта
2024-03-23,Москва,торшеры,1,8962.58,8962.58,онлайн,1,самовывоз
2024-05-12,Москва,торшеры,7,6193.9,43357.3,онлайн,3,самовывоз
2024-04-20,Московская область,торшеры,8,8739.37,69914.96,онлайн,2,курьер
2024-11-03,Москва,торшеры,3,6420.51,19261.53,оффлайн,2,почта
2024-12-17,Московская область,потолочные светильники,10,6110.66,61106.6,онлайн,4,курьер
2024-03-08,Москва,настольные лампы,4,5465.76,21863.04,оффлайн,2,почта
2024-02-19,Москва,потолочные светильники,10,6198.23,61982.3,онлайн,1,курьер
2024-12-03,Москва,торшеры,9,8361.46,75253.14,оффлайн,5,курьер
2024-07-08,Москва,торшеры,7,2680.12,18760.84,оффлайн,4,курьер
2024-10-28,Москва,потолочные светильники,3,2917.92,8753.76,онлайн,1,курьер
2024-11-02,Московская область,настенные светильники,4,551.96,2207.84,онлайн,5,почта
2024-03-01,Москва,потолочные светильники,4,7033.78,28135.12,оффлайн,4,курьер
2024-02-24,Москва,потолочные светильники,10,2909.51,29095.1,оффлайн,5,курьер
2024-11-09,Московская область,потолочные светильники,4,4425.67,17702.68,оффлайн,2,курьер
2024-10-13,Московская область,настенные светильники,5,5987.69,29938.45,оффлайн,2,почта
2024-03-01,Москва,потолочные светильники,3,1452.65,4357.95,оффлайн,3,почта
2024-11-10,Москва,люстры,7,9663.42,67643.94,онлайн,1,самовывоз
2024-08-29,Московская область,настольные лампы,2,2999.37,5998.74,оффлайн,1,почта
2024-01-20,Московская область,потолочные светильники,10,6733.66,67336.6,оффлайн,5,самовывоз
2024-03-30,Московская область,потолочные светильники,1,2416.22,2416.22,оффлайн,2,самовывоз
2024-11-02,Москва,торшеры,3,6903.23,20709.69,оффлайн,2,почта
2024-01-01,Москва,настольные лампы,5,7906.89,39534.45,оффлайн,4,курьер
2024-10-27,Москва,торшеры,1,7500.79,7500.79,онлайн,1,почта
2024-05-25,Московская область,настенные светильники,5,2649.81,13249.05,онлайн,4,курьер
2024-10-21,Москва,настенные светильники,3,4367.78,13103.34,онлайн,5,самовывоз
2024-09-14,Московская область,настенные светильники,2,8127.95,16255.9,оффлайн,5,почта
2024-05-08,Московская область,потолочные светильники,10,5094.48,50944.8,онлайн,3,курьер
2024-12-14,Московская область,торшеры,1,5078.72,5078.72,оффлайн,1,курьер
2024-11-20,Москва,люстры,6,4418.05,26508.3,оффлайн,5,почта
2024-01-05,Московская область,люстры,5,1383.59,6917.95,оффлайн,1,почта
2024-04-01,Московская область,настенные светильники,6,2576.38,15458.28,оффлайн,2,почта
2024-12-15,Москва,потолочные светильники,4,2731.18,10924.72,онлайн,3,самовывоз
2024-04-27,Москва,люстры,10,3882.26,38822.6,онлайн,1,самовывоз
2024-12-12,Московская область,торшеры,1,7760.32,7760.32,онлайн,4,курьер
2024-11-13,Московская область,потолочные светильники,10,8753.3,87533.0,оффлайн,2,почта
2024-05-23,Московская область,люстры,10,1718.34,17183.4,оффлайн,4,почта
2024-01-17,Московская область,потолочные светильники,3,4843.36,14530.08,онлайн,5,курьер
2024-06-10,Москва,настольные лампы,4,4104.57,16418.28,онлайн,3,курьер
2024-11-09,Московская область,люстры,9,2997.07,26973.63,оффлайн,4,почта
2024-06-24,Московская область,люстры,8,4527.46,36219.68,оффлайн,3,курьер
2024-07-24,Московская область,потолочные светильники,3,5928.39,17785.17,онлайн,1,почта
2024-05-18,Москва,торшеры,7,8634.93,60444.51,онлайн,2,почта
2024-03-17,Московская область,настольные лампы,3,4504.45,13513.35,онлайн,5,почта
2024-06-10,Московская область,настенные светильники,5,5840.32,29201.6,онлайн,4,самовывоз
2024-12-19,Москва,настольные лампы,4,8231.27,32925.08,оффлайн,1,курьер
2024-06-20,Московская область,настенные светильники,6,5823.33,34939.98,оффлайн,3,самовывоз
2024-07-29,Москва,настенные светильники,10,2390.1,23901.0,онлайн,3,курьер
2024-06-15,Московская область,потолочные светильники,2,4120.17,8240.34,оффлайн,4,почта
2024-03-15,Москва,настенные светильники,7,6497.1,45479.7,оффлайн,1,самовывоз
2024-03-23,Московская область,люстры,6,3510.34,21062.04,оффлайн,3,почта
2024-11-26,Московская область,настенные светильники,8,7919.25,63354.0,оффлайн,5,почта
2024-08-18,Московская область,люстры,3,8615.01,25845.03,онлайн,2,почта
2024-05-08,Москва,люстры,3,4271.93,12815.79,онлайн,1,курьер
2024-10-07,Москва,настольные лампы,7,5477.84,38344.88,онлайн,1,курьер
2024-11-12,Москва,настольные лампы,7,3439.02,24073.14,онлайн,3,курьер
2024-11-16,Москва,люстры,9,8465.92,76193.28,онлайн,1,почта
2024-07-01,Московская область,потолочные светильники,8,9762.32,78098.56,оффлайн,5,курьер
2024-03-10,Москва,торшеры,10,4837.16,48371.6,оффлайн,5,почта
2024-11-23,Московская область,настенные светильники,8,5626.85,45014.8,онлайн,4,курьер
2024-07-06,Московская область,настенные светильники,3,3383.94,10151.82,онлайн,5,самовывоз
2024-06-25,Московская область,потолочные светильники,9,579.01,5211.09,оффлайн,4,курьер
2024-01-05,Московская область,настенные светильники,10,2696.55,26965.5,онлайн,5,курьер
2024-04-06,Московская область,торшеры,7,4250.14,29750.98,онлайн,4,курьер
2024-04-22,Московская область,настольные лампы,7,6440.57,45083.99,оффлайн,3,почта
2024-09-29,Московская область,потолочные светильники,4,8608.08,34432.32,онлайн,2,курьер
2024-02-26,Московская область,торшеры,8,3085.27,24682.16,оффлайн,2,курьер
2024-01-10,Москва,настольные лампы,9,710.24,6392.16,онлайн,3,курьер
2024-03-05,Московская область,настольные лампы,4,1356.87,5427.48,онлайн,4,самовывоз
2024-06-24,Московская область,настенные светильники,8,9980.65,79845.2,оффлайн,1,курьер
2024-02-11,Москва,настольные лампы,5,7868.7,39343.5,онлайн,5,курьер
2024-04-02,Москва,настенные светильники,7,8368.39,58578.73,онлайн,2,курьер
2024-08-14,Москва,настольные лампы,4,4877.93,19511.72,онлайн,5,почта
2024-04-16,Московская область,потолочные светильники,5,9394.04,46970.2,онлайн,1,почта
2024-10-08,Москва,настенные светильники,8,6565.94,52527.52,онлайн,3,самовывоз
2024-12-07,Москва,настольные лампы,4,6512.64,26050.56,оффлайн,1,самовывоз
2024-05-21,Москва,потолочные светильники,4,584.83,2339.32,онлайн,5,почта
2024-08-31,Москва,настенные светильники,2,2862.86,5725.72,оффлайн,1,почта
2024-11-12,Московская область,настольные лампы,1,3877.42,3877.42,онлайн,5,самовывоз
2024-03-05,Московская область,люстры,6,9825.92,58955.52,оффлайн,4,почта
2024-04-08,Москва,потолочные светильники,6,7381.79,44290.74,оффлайн,1,курьер
2024-12-27,Московская область,торшеры,5,5655.97,28279.85,оффлайн,2,почта
2024-04-05,Московская область,настенные светильники,8,3115.58,24924.64,онлайн,1,почта
2024-03-20,Московская область,настенные светильники,5,5645.26,28226.3,оффлайн,1,почта
2024-09-16,Московская область,люстры,1,6387.48,6387.48,оффлайн,5,самовывоз
2024-06-13,Москва,торшеры,7,2303.76,16126.32,оффлайн,5,самовывоз
2024-11-09,Московская область,настенные светильники,7,6588.59,46120.13,онлайн,1,почта
2024-12-03,Москва,настольные лампы,3,2197.07,6591.21,онлайн,2,самовывоз
2024-09-05,Москва,настольные лампы,1,5924.62,5924.62,оффлайн,4,почта
2024-11-15,Московская область,настольные лампы,6,2596.87,15581.22,онлайн,1,самовывоз
2024-12-01,Московская область,настольные лампы,8,8109.69,64877.52,онлайн,3,почта
2024-07-31,Московская область,настольные лампы,10,3025.25,30252.5,онлайн,1,курьер
2024-02-09,Москва,торшеры,2,1461.64,2923.28,онлайн,5,курьер
2024-04-07,Москва,торшеры,4,5915.26,23661.04,онлайн,5,почта
2024-10-12,Московская область,настольные лампы,10,3900.65,39006.5,оффлайн,4,самовывоз
2024-03-26,Москва,торшеры,7,5294.58,37062.06,онлайн,5,почта
2024-08-14,Московская область,настенные светильники,9,9918.9,89270.1,оффлайн,3,курьер
2024-11-20,Московская область,настенные светильники,10,2786.86,27868.6,онлайн,4,почта
2024-05-10,Московская область,потолочные светильники,8,9618.33,76946.64,онлайн,1,курьер
2024-11-01,Москва,торшеры,3,9937.41,29812.23,оффлайн,1,курьер
2024-04-23,Москва,настенные светильники,1,7829.47,7829.47,оффлайн,5,почта
2024-10-11,Москва,настольные лампы,1,4873.51,4873.51,онлайн,2,курьер
2024-07-06,Москва,люстры,5,8205.21,41026.05,онлайн,5,курьер
2024-10-18,Москва,настольные лампы,6,8032.59,48195.54,онлайн,4,почта
2024-12-25,Москва,торшеры,5,855.03,4275.15,оффлайн,1,самовывоз
2024-06-20,Московская область,потолочные светильники,7,9337.34,65361.38,онлайн,2,почта
2024-11-30,Москва,потолочные светильники,1,3395.44,3395.44,онлайн,3,почта
2024-10-16,Москва,настенные светильники,9,7128.8,64159.2,онлайн,1,почта
2024-07-20,Московская область,торшеры,10,5294.93,52949.3,онлайн,4,курьер
2024-07-20,Москва,люстры,6,1284.18,7705.08,онлайн,5,курьер
2024-05-14,Москва,потолочные светильники,9,4627.67,41649.03,онлайн,2,курьер
2024-10-13,Москва,потолочные светильники,7,6696.36,46874.52,онлайн,5,почта
2024-09-25,Москва,люстры,2,3029.44,6058.88,оффлайн,3,почта
2024-10-21,Москва,настольные лампы,7,4523.64,31665.48,оффлайн,2,курьер
2024-06-25,Москва,настенные светильники,3,9882.69,29648.07,оффлайн,5,самовывоз
2024-08-13,Москва,люстры,4,7010.91,28043.64,онлайн,1,самовывоз
2024-01-28,Москва,торшеры,3,8753.15,26259.45,оффлайн,1,курьер
2024-12-21,Москва,настенные светильники,8,4976.31,39810.48,оффлайн,2,почта
2024-10-02,Москва,люстры,9,5471.03,49239.27,оффлайн,5,курьер
2024-11-14,Москва,настольные лампы,7,6038.55,42269.85,онлайн,3,самовывоз
2024-01-31,Московская область,люстры,10,3077.17,30771.7,оффлайн,1,самовывоз
2024-07-17,Московская область,настенные светильники,2,681.24,1362.48,оффлайн,2,курьер
2024-09-17,Москва,настенные светильники,8,8734.34,69874.72,онлайн,2,самовывоз
2024-09-13,Московская область,торшеры,1,877.65,877.65,оффлайн,3,курьер
2024-07-20,Москва,настольные лампы,6,7000.96,42005.76,оффлайн,3,самовывоз
2024-09-13,Московская область,настольные лампы,5,8847.43,44237.15,онлайн,5,курьер
2024-04-25,Москва,настенные светильники,7,6740.85,47185.95,онлайн,4,почта
2024-12-13,Москва,потолочные светильники,4,5942.54,23770.16,оффлайн,3,почта
2024-06-17,Московская область,торшеры,3,2464.19,7392.57,онлайн,5,почта
2024-12-16,Москва,люстры,5,7041.05,35205.25,онлайн,4,самовывоз
2024-12-01,Москва,настенные светильники,2,5794.73,11589.46,онлайн,2,курьер
2024-03-15,Москва,настенные светильники,7,9631.36,67419.52,оффлайн,4,почта
2024-11-22,Московская область,люстры,4,1514.33,6057.32,онлайн,1,почта
2024-11-11,Московская область,торшеры,10,6317.44,63174.4,онлайн,2,почта
2024-01-14,Московская область,настольные лампы,8,1773.82,14190.56,оффлайн,3,самовывоз
2024-07-17,Московская область,потолочные светильники,3,2055.97,6167.91,онлайн,1,курьер
2024-01-08,Московская область,потолочные светильники,4,7552.48,30209.92,онлайн,2,самовывоз
2024-03-31,Московская область,торшеры,8,7034.7,56277.6,оффлайн,2,курьер
2024-07-26,Москва,торшеры,7,7341.91,51393.37,оффлайн,5,почта
2024-10-19,Москва,торшеры,2,4790.29,9580.58,онлайн,2,почта
2024-10-02,Московская область,настольные лампы,9,4180.28,37622.52,онлайн,2,курьер
2024-08-13,Московская область,настенные светильники,5,4882.8,24414.0,оффлайн,3,почта
2024-01-28,Москва,потолочные светильники,8,1359.19,10873.52,онлайн,2,почта
2024-12-22,Москва,потолочные светильники,7,3572.88,25010.16,онлайн,2,курьер
2024-10-29,Москва,потолочные светильники,2,2875.78,5751.56,онлайн,1,самовывоз
2024-02-28,Московская область,настенные светильники,2,5476.26,10952.52,оффлайн,5,почта
2024-03-22,Московская область,торшеры,7,917.11,6419.77,онлайн,3,почта
2024-12-03,Москва,люстры,3,2199.23,6597.69,онлайн,4,курьер
2024-06-07,Московская область,настенные светильники,3,1616.76,4850.28,онлайн,2,самовывоз
2024-11-14,Московская область,настольные лампы,8,5227.46,41819.68,оффлайн,5,самовывоз
2024-11-07,Московская область,люстры,4,6094.19,24376.76,оффлайн,4,курьер
2024-08-14,Москва,торшеры,10,562.44,5624.4,оффлайн,5,почта
2024-10-12,Москва,настольные лампы,3,1908.43,5725.29,оффлайн,1,самовывоз
2024-01-17,Московская область,настенные светильники,2,965.8,1931.6,оффлайн,2,самовывоз
2024-12-10,Московская область,торшеры,10,5936.68,59366.8,онлайн,4,почта
2024-10-23,Московская область,настольные лампы,2,7800.86,15601.72,оффлайн,3,курьер
2024-02-04,Московская область,торшеры,2,3281.91,6563.82,онлайн,1,почта
2024-05-20,Московская область,торшеры,7,5484.14,38388.98,онлайн,5,самовывоз
2024-02-25,Москва,потолочные светильники,10,9371.97,93719.7,оффлайн,4,почта
2024-06-11,Московская область,торшеры,10,9952.73,99527.3,оффлайн,2,почта
2024-10-15,Московская область,торшеры,8,5178.79,41430.32,онлайн,5,самовывоз
2024-12-28,Московская область,люстры,1,1622.97,1622.97,оффлайн,1,почта
2024-04-16,Московская область,потолочные светильники,1,3671.03,3671.03,онлайн,1,почта
2024-04-13,Московская область,настенные светильники,2,3423.84,6847.68,оффлайн,1,самовывоз
2024-12-17,Московская область,настенные светильники,7,7381.77,51672.39,онлайн,2,самовывоз
2024-06-18,Московская область,потолочные светильники,8,8073.92,64591.36,онлайн,4,самовывоз
2024-11-17,Московская область,торшеры,6,4893.47,29360.82,оффлайн,1,почта
2024-06-02,Московская область,торшеры,9,677.83,6100.47,оффлайн,3,самовывоз
2024-03-17,Московская область,настольные лампы,6,9844.38,59066.28,онлайн,5,почта
2024-07-18,Москва,торшеры,2,8713.64,17427.28,оффлайн,3,почта
2024-01-17,Московская область,потолочные светильники,2,5222.02,10444.04,онлайн,3,курьер
2024-06-03,Москва,торшеры,5,2162.62,10813.1,оффлайн,1,самовывоз
2024-02-17,Московская область,торшеры,1,8090.74,8090.74,онлайн,2,курьер
2024-09-04,Московская область,настенные светильники,3,7810.07,23430.21,онлайн,5,почта
2024-03-08,Москва,настольные лампы,8,4182.09,33456.72,онлайн,1,курьер
2024-01-23,Москва,настенные светильники,8,8947.27,71578.16,онлайн,5,почта
2024-06-08,Москва,торшеры,5,6569.08,32845.4,онлайн,3,самовывоз
2024-04-08,Московская область,настенные светильники,9,3531.92,31787.28,оффлайн,1,курьер
2024-03-17,Москва,настенные светильники,2,644.94,1289.88,онлайн,2,почта
2024-06-28,Московская область,настенные светильники,3,9461.14,28383.42,оффлайн,5,самовывоз
2024-03-28,Москва,настенные светильники,10,8976.31,89763.1,оффлайн,1,самовывоз
2024-01-15,Московская область,настольные лампы,2,4144.2,8288.4,онлайн,4,курьер
2024-04-01,Московская область,торшеры,6,3468.19,20809.14,онлайн,5,самовывоз
2024-08-26,Москва,настольные лампы,8,1424.0,11392.0,оффлайн,4,курьер
2024-04-28,Москва,люстры,10,2951.5,29515.0,оффлайн,4,самовывоз
2024-12-24,Московская область,настенные светильники,8,5131.31,41050.48,онлайн,4,самовывоз
2024-06-28,Московская область,потолочные светильники,3,3181.45,9544.35,оффлайн,5,почта
2024-03-06,Москва,потолочные светильники,2,3595.76,7191.52,онлайн,3,почта
2024-08-24,Московская область,торшеры,7,2766.47,19365.29,онлайн,5,самовывоз
2024-09-03,Московская область,настольные лампы,6,2478.26,14869.56,оффлайн,4,почта
2024-06-24,Москва,люстры,2,7523.99,15047.98,оффлайн,1,почта
2024-11-01,Московская область,настенные светильники,9,1427.71,12849.39,оффлайн,2,курьер
2024-07-26,Москва,торшеры,2,7012.33,14024.66,оффлайн,3,курьер
2024-11-26,Москва,настольные лампы,4,8261.82,33047.28,онлайн,2,почта
2024-03-17,Московская область,торшеры,5,4204.84,21024.2,оффлайн,2,самовывоз
2024-12-14,Московская область,настенные светильники,10,8046.29,80462.9,оффлайн,4,почта
2024-06-25,Москва,торшеры,1,6309.16,6309.16,оффлайн,2,курьер
2024-02-01,Московская область,торшеры,1,508.01,508.01,оффлайн,1,курьер
2024-01-16,Москва,потолочные светильники,10,4245.55,42455.5,оффлайн,4,курьер
2024-07-14,Московская область,торшеры,4,6793.63,27174.52,оффлайн,2,самовывоз
2024-10-11,Московская область,настенные светильники,7,1965.54,13758.78,онлайн,2,самовывоз
2024-02-06,Москва,люстры,8,6750.3,54002.4,онлайн,1,самовывоз
2024-11-24,Московская область,потолочные светильники,10,9337.95,93379.5,онлайн,4,почта
2024-08-05,Московская область,потолочные светильники,6,2644.54,15867.24,оффлайн,5,самовывоз
2024-10-22,Московская область,люстры,9,3057.88,27520.92,оффлайн,1,самовывоз
2024-10-17,Московская область,настенные светильники,2,6012.55,12025.1,онлайн,2,почта
2024-09-26,Московская область,потолочные светильники,9,1243.23,11189.07,онлайн,2,курьер
2024-11-18,Москва,торшеры,10,3468.75,34687.5,онлайн,3,почта
2024-01-06,Московская область,потолочные светильники,9,9107.52,81967.68,оффлайн,4,курьер
2024-05-30,Московская область,люстры,1,7102.99,7102.99,оффлайн,5,курьер
2024-02-01,Московская область,торшеры,3,5942.17,17826.51,оффлайн,5,самовывоз
2024-05-26,Московская область,настольные лампы,3,5303.16,15909.48,оффлайн,3,самовывоз
2024-11-11,Московская область,настенные светильники,5,634.93,3174.65,онлайн,5,самовывоз
2024-10-29,Москва,потолочные светильники,6,8174.49,49046.94,оффлайн,2,курьер
2024-04-02,Москва,настенные светильники,2,9689.78,19379.56,онлайн,4,курьер
2024-07-15,Москва,потолочные светильники,3,2503.14,7509.42,оффлайн,1,почта
2024-05-15,Москва,настольные лампы,3,4908.14,14724.42,оффлайн,3,курьер
2024-09-29,Москва,потолочные светильники,7,5008.6,35060.2,онлайн,5,курьер
2024-01-07,Московская область,потолочные светильники,7,6945.69,48619.83,онлайн,1,почта
2024-11-22,Московская область,потолочные светильники,10,9221.4,92214.0,оффлайн,3,курьер
2024-05-16,Москва,настенные светильники,10,4215.96,42159.6,онлайн,5,самовывоз
2024-09-23,Московская область,люстры,6,5702.32,34213.92,онлайн,1,самовывоз
2024-07-29,Москва,торшеры,2,7012.25,14024.5,оффлайн,2,почта
2024-05-25,Московская область,люстры,1,725.15,725.15,онлайн,1,почта
2024-12-02,Москва,торшеры,2,7226.71,14453.42,онлайн,1,почта
2024-03-07,Московская область,торшеры,3,9012.02,27036.06,онлайн,3,курьер
2024-08-27,Москва,потолочные светильники,5,7808.91,39044.55,оффлайн,3,самовывоз
2024-02-07,Московская область,настольные лампы,7,4191.61,29341.27,онлайн,3,курьер
2024-04-01,Московская область,настольные лампы,8,9804.51,78436.08,онлайн,5,курьер
2024-04-01,Московская область,настольные лампы,3,5636.01,16908.03,оффлайн,2,почта
2024-11-25,Москва,потолочные светильники,5,1481.23,7406.15,онлайн,1,почта
2024-05-08,Московская область,настольные лампы,8,1914.12,15312.96,онлайн,1,почта
2024-07-18,Московская область,люстры,6,9093.87,54563.22,онлайн,5,почта
2024-09-08,Московская область,потолочные светильники,7,8518.47,59629.29,онлайн,5,самовывоз
2024-01-02,Московская область,потолочные светильники,2,5888.82,11777.64,оффлайн,3,почта
2024-06-04,Московская область,настольные лампы,2,3970.88,7941.76,оффлайн,1,курьер
2024-05-28,Москва,люстры,9,873.65,7862.85,оффлайн,2,курьер
2024-12-22,Московская область,настольные лампы,6,5121.78,30730.68,оффлайн,2,самовывоз
2024-01-19,Москва,настольные лампы,10,2765.61,27656.1,оффлайн,1,почта
2024-11-25,Московская область,потолочные светильники,9,9667.06,87003.54,оффлайн,1,самовывоз
2024-06-22,Москва,настенные светильники,1,4352.32,4352.32,онлайн,5,курьер
2024-12-13,Москва,торшеры,4,9285.75,37143.0,онлайн,2,курьер
2024-11-30,Москва,потолочные светильники,10,935.12,9351.2,онлайн,1,самовывоз
2024-11-19,Москва,настенные светильники,2,4833.75,9667.5,онлайн,5,самовывоз
2024-02-24,Москва,потолочные светильники,10,8092.16,80921.6,онлайн,1,самовывоз
2024-08-06,Московская область,потолочные светильники,6,1647.62,9885.72,онлайн,3,самовывоз
2024-01-24,Москва,настенные светильники,2,1647.08,3294.16,онлайн,4,самовывоз
2024-12-22,Московская область,торшеры,3,4667.28,14001.84,онлайн,2,самовывоз
2024-11-19,Московская область,люстры,1,8856.46,8856.46,онлайн,1,самовывоз
2024-04-01,Москва,торшеры,5,4454.11,22270.55,оффлайн,2,самовывоз
2024-03-14,Московская область,торшеры,8,4414.3,35314.4,онлайн,5,почта
2024-01-20,Москва,потолочные светильники,10,9527.83,95278.3,оффлайн,3,курьер
2024-01-03,Москва,люстры,2,9872.73,19745.46,онлайн,5,курьер
2024-10-03,Москва,потолочные светильники,4,3126.05,12504.2,онлайн,1,самовывоз
2024-12-16,Московская область,потолочные светильники,3,2017.72,6053.16,онлайн,1,почта
2024-07-05,Московская область,люстры,7,2888.13,20216.91,оффлайн,1,самовывоз
2024-01-27,Москва,люстры,1,5108.08,5108.08,онлайн,1,самовывоз
2024-08-15,Московская область,потолочные светильники,4,7597.32,30389.28,оффлайн,2,самовывоз
2024-06-15,Москва,настольные лампы,4,7508.6,30034.4,онлайн,4,самовывоз
2024-02-07,Московская область,торшеры,8,1016.22,8129.76,оффлайн,2,самовывоз
2024-11-08,Московская область,люстры,7,4048.11,28336.77,оффлайн,2,почта
2024-07-02,Московская область,люстры,6,1708.51,10251.06,онлайн,3,самовывоз
2024-02-26,Московская область,потолочные светильники,7,2126.41,14884.87,оффлайн,2,курьер
2024-11-05,Москва,торшеры,3,5992.15,17976.45,онлайн,1,курьер
2024-09-24,Московская область,люстры,10,4998.15,49981.5,оффлайн,3,самовывоз
2024-08-07,Москва,люстры,6,4625.36,27752.16,онлайн,5,самовывоз
2024-10-20,Москва,потолочные светильники,1,880.56,880.56,оффлайн,5,самовывоз
2024-08-05,Московская область,потолочные светильники,2,4798.19,9596.38,онлайн,1,почта
2024-01-07,Московская область,люстры,3,3904.85,11714.55,онлайн,1,самовывоз
2024-09-02,Московская область,люстры,8,8650.26,69202.08,онлайн,4,курьер
2024-03-11,Московская область,люстры,6,6454.7,38728.2,онлайн,1,курьер
2024-12-19,Московская область,торшеры,1,3317.6,3317.6,оффлайн,5,почта
2024-10-21,Москва,настольные лампы,10,8868.05,88680.5,онлайн,5,почта
2024-07-05,Москва,настольные лампы,7,3973.11,27811.77,онлайн,3,курьер
2024-03-30,Москва,торшеры,4,1814.86,7259.44,оффлайн,2,почта
2024-02-28,Московская область,торшеры,4,7655.15,30620.6,онлайн,3,курьер
2024-05-16,Московская область,настенные светильники,1,1102.01,1102.01,оффлайн,4,курьер
2024-09-13,Москва,потолочные светильники,9,6943.93,62495.37,оффлайн,4,почта
2024-07-07,Москва,люстры,8,1329.43,10635.44,оффлайн,2,курьер
2024-02-09,Москва,люстры,5,1564.23,7821.15,онлайн,4,самовывоз
2024-04-14,Москва,настенные светильники,7,9710.96,67976.72,онлайн,4,курьер
2024-08-03,Московская область,настольные лампы,5,2296.08,11480.4,онлайн,2,почта
2024-11-26,Московская область,потолочные светильники,10,3756.53,37565.3,оффлайн,4,почта
2024-12-06,Московская область,потолочные светильники,5,5888.89,29444.45,оффлайн,2,курьер
2024-04-26,Московская область,настенные светильники,5,7812.62,39063.1,онлайн,2,курьер
2024-05-25,Московская область,люстры,10,9279.25,92792.5,оффлайн,2,самовывоз
2024-12-28,Москва,люстры,4,1610.71,6442.84,оффлайн,5,самовывоз
2024-08-13,Московская область,настенные светильники,3,2448.98,7346.94,онлайн,3,курьер
2024-03-16,Московская область,потолочные светильники,9,9766.92,87902.28,оффлайн,1,самовывоз
2024-07-26,Московская область,люстры,8,9314.21,74513.68,онлайн,1,почта
2024-10-06,Московская область,настенные светильники,8,9011.79,72094.32,онлайн,5,почта
2024-08-14,Московская область,настольные лампы,8,9051.66,72413.28,онлайн,5,самовывоз
2024-06-06,Москва,потолочные светильники,10,8488.33,84883.3,оффлайн,3,самовывоз
2024-06-16,Москва,торшеры,4,6042.6,24170.4,онлайн,3,самовывоз
2024-01-12,Москва,торшеры,8,6932.1,55456.8,онлайн,5,курьер
2024-04-09,Московская область,настенные светильники,10,6248.24,62482.4,онлайн,3,курьер
2024-03-16,Московская область,настенные светильники,7,4041.9,28293.3,оффлайн,3,курьер
2024-06-06,Московская область,торшеры,2,2549.1,5098.2,оффлайн,4,курьер
2024-05-27,Москва,потолочные светильники,7,1825.89,12781.23,онлайн,2,самовывоз
2024-06-04,Московская область,торшеры,6,1128.1,6768.6,оффлайн,1,самовывоз
2024-07-28,Московская область,потолочные светильники,3,5780.23,17340.69,онлайн,2,самовывоз
2024-07-14,Московская область,торшеры,8,901.21,7209.68,оффлайн,5,курьер
2024-09-09,Московская область,люстры,1,8016.59,8016.59,онлайн,3,курьер
2024-11-23,Московская область,настольные лампы,5,4462.99,22314.95,оффлайн,2,самовывоз
2024-03-02,Московская область,потолочные светильники,2,6189.47,12378.94,оффлайн,5,курьер
2024-10-16,Московская область,настенные светильники,8,9755.46,78043.68,онлайн,3,почта
2024-10-21,Москва,настенные светильники,3,6025.72,18077.16,онлайн,3,курьер
2024-12-20,Москва,настенные светильники,3,1002.44,3007.32,оффлайн,4,почта
2024-07-01,Москва,настенные светильники,5,5531.32,27656.6,онлайн,5,самовывоз
2024-11-17,Москва,настольные лампы,10,7649.97,76499.7,оффлайн,3,почта
2024-06-03,Московская область,настенные светильники,2,5576.99,11153.98,оффлайн,2,самовывоз
2024-03-11,Московская область,настенные светильники,8,4413.95,35311.6,онлайн,1,самовывоз
2024-03-20,Москва,люстры,9,6327.57,56948.13,онлайн,4,курьер
2024-02-09,Москва,люстры,1,5055.42,5055.42,оффлайн,3,самовывоз
